type,bbox,interactivity,content,ID
text,"[0.006881630513817072, 0.1990041881799698, 0.13212387263774872, 0.2356436401605606]",True,People,32
text,"[0.0057194591499865055, 0.16139861941337585, 0.13365550339221954, 0.19937044382095337]",True,Connected devices,33
text,"[0.005875539965927601, 0.12473797053098679, 0.13375134766101837, 0.16025830805301666]",True,Bluetooth,34
text,"[0.3291257917881012, 0.5153709053993225, 0.6732927560806274, 0.5682244896888733]",True,Screen lock,35
text,"[0.3291257917881012, 0.5153709053993225, 0.6732927560806274, 0.5682244896888733]",True,Sign in automatically,36
text,"[0.32682690024375916, 0.5667261481285095, 0.6742612719535828, 0.6221752762794495]",True,Google Accounts,37
icon,"[0.9409710168838501, 0.9532562494277954, 0.9961517453193665, 0.9928545951843262]",True,a timer set for 8:18.,38
icon,"[0.47076350450515747, 0.9529287815093994, 0.49806442856788635, 0.9985665678977966]",True,Google Chrome web browser.,39
icon,"[0.5027691721916199, 0.9531053304672241, 0.5298402309417725, 0.9982370138168335]",True,Settings.,40
icon,"[0.005673909094184637, 0.34622251987457275, 0.13028815388679504, 0.3842536211013794]",True,Search and Assistant settings.,41
icon,"[0.005750501062721014, 0.3095792233943939, 0.1307736188173294, 0.34755513072013855]",True,Device settings.,42
icon,"[0.0, 0.5169188380241394, 0.13081209361553192, 0.55516517162323]",True,About Chrome OS settings.,43
icon,"[3.0040740966796875e-05, 0.4777090549468994, 0.13000960648059845, 0.5186405777931213]",True,Extensions.,44
icon,"[0.0012711286544799805, 0.4240598976612091, 0.13070055842399597, 0.4694538414478302]",True,Advanced settings or options.,45
icon,"[0.004539406392723322, 0.3834741711616516, 0.1308397501707077, 0.4233614206314087]",True,a power button to start a task.,46
icon,"[0.0058897375129163265, 0.2724502682685852, 0.13380087912082672, 0.3102823793888092]",True,Appearance settings.,47
icon,"[0.644449770450592, 0.1504216343164444, 0.6732202172279358, 0.197245791554451]",True,Indigo,48
icon,"[0.967563807964325, 0.0, 0.9831487536430359, 0.028306378051638603]",True,Save,49
icon,"[0.6487630605697632, 0.2748783230781555, 0.6714122891426086, 0.3192650377750397]",True,Curve,50
icon,"[0.003645791905000806, 0.9529348015785217, 0.025680331513285637, 0.9938622117042542]",True,Oval,51
icon,"[0.9842397570610046, 0.0, 0.9988991022109985, 0.028756098821759224]",True,Close,52
icon,"[0.9520518183708191, 0.0011395626934245229, 0.9660565853118896, 0.029227696359157562]",True,Minimize,53
icon,"[0.330774188041687, 0.4580736756324768, 0.35624876618385315, 0.5002979040145874]",True,Subscript,54
icon,"[0.006353044416755438, 0.23527877032756805, 0.13075986504554749, 0.27258408069610596]",True,AutoFill.,55
icon,"[0.6190253496170044, 0.27257847785949707, 0.6440853476524353, 0.3207108974456787]",True,Table,56
icon,"[0.32856878638267517, 0.7242253422737122, 0.34895846247673035, 0.7600631713867188]",True,Toggling between windows or applications,57
icon,"[0.3310011625289917, 0.3952236473560333, 0.356124609708786, 0.4426073729991913]",True,Delete,58
icon,"[0.006881630513817072, 0.1990041881799698, 0.13212387263774872, 0.2356436401605606]",True,People,59
icon,"[0.6550546288490295, 0.933229923248291, 0.6692082285881042, 0.9568708539009094]",True,Undo,60
icon,"[0.6171458959579468, 0.15544748306274414, 0.635815441608429, 0.19013960659503937]",True,Start,61
icon,"[0.3252505362033844, 0.04075411707162857, 0.33969414234161377, 0.07424279302358627]",True,Find,62
icon,"[0.0057194591499865055, 0.16139861941337585, 0.13365550339221954, 0.19937044382095337]",True,Connected devices.,63
icon,"[0.005875539965927601, 0.12473797053098679, 0.13375134766101837, 0.16025830805301666]",True,Bluetooth connectivity.,64
icon,"[0.0077050356194376945, 0.09163172543048859, 0.02790387161076069, 0.1251382827758789]",True,Basic Shapes,65
icon,"[0.3291257917881012, 0.5153709053993225, 0.6732927560806274, 0.5682244896888733]",True,Navigation to the screen look.,66
icon,"[0.3287751376628876, 0.1548844426870346, 0.34791722893714905, 0.1922903209924698]",True,Bluetooth connectivity,67
icon,"[0.6548269391059875, 0.623356819152832, 0.6688016653060913, 0.64935302734375]",True,"M0,0L9,0 4.5,0z",68
icon,"[0.32682690024375916, 0.5667261481285095, 0.6742612719535828, 0.6221752762794495]",True,Navigation to Google Accounts.,69
icon,"[0.6544069051742554, 0.8197508454322815, 0.6693357229232788, 0.8465777635574341]",True,"M0,0L9,0 4.5,0z",70
icon,"[0.652682900428772, 0.7248831987380981, 0.6711875796318054, 0.7618813514709473]",True,Play,71
icon,"[3.551170084392652e-05, 0.09135918319225311, 0.005894922185689211, 0.12579359114170074]",True,"M0,0L9,0 4.5,5z",72
